account_code,description,reference,remarks,credit,debit,posting_date
401002,PRELEVEMENT SEPA SARL FOURNIER B,REF868648,,0,490.46,2025-02-03
411007,VIR RECU SARL GARCIA DISTRIBUTIO,,VIR SEPA NPY:SARL GARCIA DISTRIBUTION IBE:FR6177233592743758002949141 BIC:CCBPFRPP PDO:FR<br />LIB:REGLEMENT CLIENT FAC2024453,15900.00,0,2024-08-25
411001,VIREMENT RECU SCI HENRY SECURITE,,,9475.63,0,2025-10-22
601100,CARTE MAIF,,,0,1270.31,2025-10-27
445660,CARTE MAIF,,,0,254.06,2025-10-27
401010,PRLV SEPA SAS DAVID CONSEIL,,PRLV SEPA CPY:FR17032105 RUM:FR17032105 NBE:SAS DAVID CONSEIL<br />LIB:REGLEMENT FACTURE,0,7833.58,2025-10-10
601100,PRLVT SEPA SA GROUPE LEGRAND,,,0,5750.61,2025-04-28
445660,PRLVT SEPA SA GROUPE LEGRAND,,,0,1150.12,2025-04-28
614000,PRLV SEPA SA PICARD,,,0,1666.67,2024-03-18
445660,PRLV SEPA SA PICARD,,,0,333.33,2024-03-18
622000,VIR SEPA EURL MERCIER,,,0,5429.33,2025-05-29
445660,VIR SEPA EURL MERCIER,,,0,1085.87,2025-05-29
411008,VIR RECU SCI PETIT ELECTRICITE,,,5527.29,0,2025-12-15
602000,CB SARL PETIT,,CB SARL PETIT<br />LIB:ACHAT MATIERES PREMIERES,0,5647.45,2024-08-27
445660,CB SARL PETIT,,CB SARL PETIT<br />LIB:ACHAT MATIERES PREMIERES,0,1129.49,2024-08-27
708000,VIR RECU SARL COMMERCE DU SUD,REF337665,,2268.81,0,2024-09-26
401001,PRLV SEPA EURL GAUTHIER LOGISTIQ,,,0,13076.61,2024-04-29
445710,VIR RECU DGFIP,,,15449.23,0,2024-01-19
419000,VIR RECU SA AERO COMPOSANTS,,,3125.25,0,2024-05-06
403000,VIR SEPA SA GROUPE LEGRAND,,,0,15609.04,2024-04-26
623000,CB ENGIE,,,0,181.47,2025-04-02
445660,CB ENGIE,,,0,36.29,2025-04-02
601100,PAIEMENT CB SA GROUPE LEGRAND,,,0,2689.12,2025-09-01
445660,PAIEMENT CB SA GROUPE LEGRAND,,,0,537.83,2025-09-01
626000,PRLV SEPA EURL BERNARD,,,0,20.27,2024-11-09
651000,VIR SARL BONNET,,VIR SEPA NPY:SARL BONNET<br />LIB:REDEVANCE BREVET,0,2578.23,2024-08-15
445660,VIR SARL BONNET,,VIR SEPA NPY:SARL BONNET<br />LIB:REDEVANCE BREVET,0,515.65,2024-08-15
401001,VIR SEPA EURL GAUTHIER LOGISTIQU,REF863775,VIR SEPA REF:FR54980070 NPY:EURL GAUTHIER LOGISTIQUE<br />LIB:ACOMPTE FOURNISSEUR,0,14300.00,2024-04-30
431000,PRLV SEPA URSSAF,,,0,5510.39,2024-02-05
761000,VI RECU INTERETS,,,348.48,0,2025-07-22
401011,VIR SEPA SCI MARCHAND NETTOYAGE,,,0,19000.00,2025-05-28
401004,VIREMENT SEPA SAS GARCIA INDUSTR,,VIR SEPA REF:FR76773395 NPY:SAS GARCIA INDUSTRIE<br />LIB:FACTURE FOURNISSEUR FAC2025179 LC2:ECHEANCE AOUT,0,1722.92,2025-08-28
511500,ENCAISSEMENT CB,,REMISE CB DU 280625<br />LIB:ENCAISSEMENT CARTE,800.01,0,2025-06-28
627000,ENCAISSEMENT CB,,REMISE CB DU 280625<br />LIB:ENCAISSEMENT CARTE,0,8.00,2025-06-28
530000,RETRAIT CAISSE,,,0,698.48,2025-01-29
706000,VIR RECU EURL DESIGN STUDIO,,VIR SEPA NPY:EURL DESIGN STUDIO<br />LIB:PRESTATIONS SERVICES FAC2025364,6035.61,0,2025-02-04
601100,CARTE SA GROUPE LEGRAND,REF318877,CB SA GROUPE LEGRAND<br />LIB:ACHAT MARCHANDISES,0,1714.47,2024-01-28
445660,CARTE SA GROUPE LEGRAND,REF318877,CB SA GROUPE LEGRAND<br />LIB:ACHAT MARCHANDISES,0,342.90,2024-01-28
631000,PRELEVEMENT SEPA DGFIP,,,0,4462.69,2024-04-25
512000,REMISE CHEQUE,,REMISE CHQ N 351082,8254.68,0,2025-11-15
758000,VIREMENT RECU SARL MODE TEXTILE,REF526946,,3000.00,0,2024-09-30
512000,REMISE CHEQUE,,,5512.40,0,2025-12-25
606100,PRLV SEPA SA FOURNIER,,,0,424.81,2024-04-29
445660,PRLV SEPA SA FOURNIER,,,0,84.96,2024-04-29
641000,VIR SALAIRE MAI,REF786128,VIR SEPA<br />LIB:REMUNERATION MAI,0,3000.00,2025-05-28
645000,RLV SEPA URSSAF,REF406494,PRLV SEPA NBE:URSSAF<br />LIB:COTISATIONS PATRONALES T2 2024,0,4190.96,2024-05-15
635000,PRLT SEPA DGFIP,,PRLV SEPA NBE:DGFIP<br />LIB:AUTRES IMPOTS 2025,0,1268.80,2025-06-23
401001,PRELEVEMENT SEPA EURL GAUTHIER L,,,0,6998.20,2024-04-23
421000,VIR SEPA SALAIRE AVRIL,,,0,4600.00,2025-04-26
606100,CB SA FOURNIER,,,0,416.67,2025-10-25
445660,CB SA FOURNIER,,,0,83.33,2025-10-25
625200,PAIEMENT CB SAS MOREAU,,,0,395.57,2025-11-03
445660,PAIEMENT CB SAS MOREAU,,,0,79.12,2025-11-03
635000,PRLV SEPA DGFIP,,,0,3355.80,2024-09-28
606100,PRELEVEMENT SEPA SA FOURNIER,REF978554,,0,431.53,2024-06-04
445660,PRELEVEMENT SEPA SA FOURNIER,REF978554,,0,86.31,2024-06-04
403000,VIR SCI ROUX,REF262441,,0,21113.59,2024-04-21
411009,VIREMENT RECU SCI RICHARD SECURI,,VIR SEPA NPY:SCI RICHARD SECURITE IBE:FR1195138816108707237727041 BIC:CCBPFRPP PDO:FR RCN:FAC2025192<br />LIB:REGLEMENT FACTURE FAC2025192,37245.40,0,2024-10-30
612000,PRLV SEPA SA PICARD,,PRLV SEPA NBE:SA PICARD<br />LIB:CREDIT-BAIL,0,3756.98,2024-03-27
445660,PRLV SEPA SA PICARD,,PRLV SEPA NBE:SA PICARD<br />LIB:CREDIT-BAIL,0,751.40,2024-03-27
437000,PRELEVEMENT SEPA POLE EMPLOI,,,0,1300.00,2025-02-05
213100,VIR SEPA SARL GAUTIER,,,0,5500.00,2024-05-27
601100,CB EDF,,,0,379.67,2025-02-26
445660,CB EDF,,,0,75.93,2025-02-26
623000,CARTE SAS MOREAU,,,0,697.06,2025-01-21
445660,CARTE SAS MOREAU,,,0,139.41,2025-01-21
708000,VIR RECU SARL MODE TEXTILE,,VIR SEPA NPY:SARL MODE TEXTILE<br />LIB:PRODUITS ACTIVITES ANNEXES,2360.00,0,2025-01-26
261000,VIR SEPA SARL BONNET,REF461287,VIR SEPA NPY:SARL BONNET<br />LIB:TITRES DE PARTICIPATION,0,98425.66,2024-07-01
708000,VIR RECU SARL TRANSPORT EXPRSS,,VIR SEPA NPY:SARL TRANSPORT EXPRESS<br />LIB:PRODUITS ACTIVITES ANNEXES,4168.67,0,2025-04-27
512000,REMISE CHEQUE,,,16000.00,0,2025-11-30
671000,VIREMENT SEPA SAS LAMBERT,,,0,900.52,2025-12-02
645000,PRLV SEPA URSSAF,,,0,17627.94,2024-06-11
512000,VIR INTERNE,,,0,26556.01,2025-04-09
758000,VIR RECU SARL TRANSPORT EXPRESS,,VIR SEPA NPY:SARL TRANSPORT EXPRESS<br />LIB:PRODUITS GESTION COURANTE,1500.00,0,2025-12-31
681000,DOTATION AMORTISSEMENT,,,0,500.00,2025-12-28
706000,VIR RECU SA INDUSTRIE NORD,,VIR SEPA NPY:SA INDUSTRIE NORD<br />LIB:HONORAIRES MARS,11064.30,0,2024-03-22
512000,FRAIS BANCAIRES,,,0,44.44,2025-04-25
164000,PRLV SEPA ECHEANCE EMPRUNT,,,0,5199.73,2025-01-21
661100,PRLV SEPA ECHEANCE EMPRUNT,,,0,1169.94,2025-01-21
616000,PRLV SEPA ECHEANCE EMPRUNT,,,0,129.99,2025-01-21
615000,PRLV SEPA SAS DUPONT,REF113160,,0,2131.48,2025-03-17
445660,PRLV SEPA SAS DUPONT,REF113160,,0,426.30,2025-03-17
604000,CARTE ALLIANZ,,,0,2874.60,2024-11-25
445660,CARTE ALLIANZ,,,0,574.92,2024-11-25
601100,PRLV SEPA MAIF,,PRLV SEPA NBE:MAIF<br />LIB:COMMANDE FAC2025915,0,3978.23,2025-03-09
445660,PRLV SEPA MAIF,,PRLV SEPA NBE:MAIF<br />LIB:COMMANDE FAC2025915,0,795.65,2025-03-09
401001,PRLV SEPA EURL GAUTHIER LOGISTIQ,,,0,1858.35,2025-08-07
416000,VIR RECU SARL COMMERCE DU SUD,,,6841.29,0,2025-07-28
625200,CB SAS MOREAU,,,0,179.32,2024-07-23
445660,CB SAS MOREAU,,,0,35.86,2024-07-23
512000,VIREMENT RECU SARL PETIT,REF483474,,17799.18,0,2024-04-22
707000,VIR RECU SAS DIGITAL SERVICES,,,2338.85,0,2024-06-29
416000,VIR RECU SARL COMMERCE DU SUD,,,6798.61,0,2024-06-26
416000,VIR RECU EURL ARTISAN BOIS,REF567735,,6049.82,0,2025-06-30
421000,VIREMENT SEPA SALAIRE NOVEMBRE,,,0,4059.73,2024-11-30
645000,PRLV SEPA URSSAF,,PRLV SEPA NBE:URSSAF<br />LIB:COTISATIONS PATRONALES T1 2024,0,18081.97,2024-02-08
601100,PAIEENT CB EDF,,,0,2014.33,2024-03-10
445660,PAIEENT CB EDF,,,0,402.87,2024-03-10
512000,REMISE CHEQUE,,,5983.16,0,2025-10-27
514000,REMISE CHEQUE,,REMISE CHQ N 770613<br />LIB:ENCAISSEMENT CHEQUE,4000.00,0,2025-04-29
437000,PRELEVEMENT SEPA POLE EMPLO,,,0,2741.07,2025-01-12
771000,VIR RECU SA GROUPE LEGRAND,,,18000.00,0,2025-02-16
416000,VIR RECU SA AERO COMPOSANTS,,,2049.82,0,2024-07-27
514000,REMISE CHEQUE,,,4281.85,0,2024-06-02
628000,CB SARL CONSULTANT RH,,,0,57.47,2024-06-14
612000,PRLV SEPA SARL PETIT,,,0,3827.12,2024-07-28
445660,PRLV SEPA SARL PETIT,,,0,765.42,2024-07-28
613200,PRLV SEPA EURL MERCIER,,,0,1146.51,2025-06-02
445660,PRLV SEPA EURL MERCIER,,,0,229.30,2025-06-02
401006,PRLV SEPA SAS ROBIN SECURITE,,PRLV SEPA CPY:FR33588828 NBE:SAS ROBIN SECURITE<br />LIB:FACTURE FAC2024388,0,2300.00,2025-09-11
624000,CB MACIF,,CB MACIF<br />LIB:TRANSPORT LIVRAISON,0,402.37,2025-03-27
445660,CB MACIF,,CB MACIF<br />LIB:TRANSPORT LIVRAISON,0,80.47,2025-03-27
401003,VIR SARL GIRARD SECURITE,,,0,4720.00,2024-07-27
218000,CB SAS FAURE,,CB SAS FAURE<br />LIB:ACHAT MATERIEL,0,5424.98,2025-04-03
445620,CB SAS FAURE,,CB SAS FAURE<br />LIB:ACHAT MATERIEL,0,1085.00,2025-04-03
641000,VIR SEPA SALAIRE JANVIER,,,0,4150.09,2025-01-31
706000,VIR RECU SA GROUPE LEGRAND,,,946.20,0,2024-11-08
601100,CARTE SA GROUPE LEGRAND,REF508783,,0,65.92,2025-10-06
445660,CARTE SA GROUPE LEGRAND,REF508783,,0,13.19,2025-10-06
625100,CARTE EURL BERNARD,REF399962,,0,581.17,2024-04-17
445660,CARTE EURL BERNARD,REF399962,,0,116.23,2024-04-17
606100,CB SA FOURNIER,,,0,173.33,2024-07-19
445660,CB SA FOURNIER,,,0,34.67,2024-07-19
401003,PRLVT SEPA SARL GIRARD SECURITE,,,0,3000.00,2025-08-01
401006,VIREMENT SEPA SAS ROBIN SECURITE,REF848284,,0,18300.00,2025-09-28
411001,VIR RECU SCI HENRY SECURITE,,,36892.80,0,2025-08-30
601100,PRLV SEPA SA GROUPE LEGRAND,,PRLV SEPA NBE:SA GROUPE LEGRAND<br />LIB:COMMANDE FAC2024813,0,2070.83,2025-07-25
445660,PRLV SEPA SA GROUPE LEGRAND,,PRLV SEPA NBE:SA GROUPE LEGRAND<br />LIB:COMMANDE FAC2024813,0,414.17,2025-07-25
514000,REMISE CHEQUE,,REMISE CHQ N 314626,5373.72,0,2025-12-09
512000,REMISE CHEQUE,,,18001.84,0,2024-09-03
704000,VIREMENT RECU EURL DESIGN STUDIO,,,13000.00,0,2024-01-16
411001,VIR RECU SCI HENRY SECURITE,,,13321.45,0,2024-06-21
633000,PRELEVEMENT SEPA DGFIP,,,0,961.06,2024-06-30
708000,VIR RECU SARL TRANPORT EXPRESS,,,4011.52,0,2024-08-31
641000,VIREMENT SEPA SALAIRE MARS,,,0,1338.22,2025-03-31
621000,PRLV SEPA SARL SIMON,REF132597,,0,8000.00,2025-07-26
445660,PRLV SEPA SARL SIMON,REF132597,,0,1600.00,2025-07-26
411001,VIREMENT RECU SCI HENRY SECURITE,,,15638.56,0,2025-02-13
205000,VIR SEPA SA LEFEVRE,,,0,2518.22,2025-07-11
626000,PRLV SEPA LA POSTE,,PRLV SEPA NBE:LA POSTE<br />LIB:AFFRANCHISSEMENT,0,149.44,2025-11-26
704000,VIR RECU SAS TECHNOLOGY PLUS,,,25782.80,0,2024-10-21
404000,VIREMENT SEPA SARL ANDRE,,,0,18407.79,2024-10-08
411001,VIR RECU SCI HENRY SECURITE,,VIR SEPA NPY:SCI HENRY SECURITE IBE:DE79571492966369656769 BIC:DEUTDEFF PDO:DE<br />LIB:REGLEMENT CLIENT FAC2025216,21180.28,0,2025-10-26
623000,CARTE EURL BERNARD,,,0,416.67,2024-01-04
445660,CARTE EURL BERNARD,,,0,83.33,2024-01-04
601100,PAIEMENT CB ORANGE SA,,,0,1000.00,2025-06-26
445660,PAIEMENT CB ORANGE SA,,,0,200.00,2025-06-26
401006,VIR SAS ROBIN SECURITE,,,0,19318.79,2024-08-25
411005,VIREMENT RECU SCI ROUSSEL ELECTR,,,15173.12,0,2024-01-24
